[2025-07-08 17:22:24,522] INFO in app: -> 111.55.79.76 POST /auth/register?
[2025-07-08 17:22:25,418] INFO in app: <- 111.55.79.76 POST /auth/register? -> 201 CREATED
[2025-07-08 17:22:25,496] INFO in app: -> 111.55.79.76 POST /auth/login?
[2025-07-08 17:22:26,441] INFO in app: <- 111.55.79.76 POST /auth/login? -> 200 OK
[2025-07-08 17:22:26,522] INFO in app: -> 111.55.79.76 PATCH /auth/user?
[2025-07-08 17:22:26,535] INFO in app: <- 111.55.79.76 PATCH /auth/user? -> 200 OK
[2025-07-08 17:22:26,616] INFO in app: -> 111.55.79.76 PUT /auth/questions?
[2025-07-08 17:22:26,628] INFO in app: <- 111.55.79.76 PUT /auth/questions? -> 200 OK
[2025-07-08 17:22:26,687] INFO in app: -> 111.55.79.76 GET /auth/questions?
[2025-07-08 17:22:26,693] INFO in app: <- 111.55.79.76 GET /auth/questions? -> 200 OK
[2025-07-08 17:22:26,777] INFO in app: -> 111.55.79.76 POST /auth/questions/verify?
[2025-07-08 17:22:26,782] INFO in app: <- 111.55.79.76 POST /auth/questions/verify? -> 200 OK
[2025-07-08 17:22:26,867] INFO in app: -> 111.55.79.76 POST /auth/change_password?
[2025-07-08 17:22:28,664] INFO in app: <- 111.55.79.76 POST /auth/change_password? -> 200 OK
[2025-07-08 17:22:28,751] INFO in app: -> 111.55.79.76 POST /auth/logout?
[2025-07-08 17:22:28,762] INFO in app: <- 111.55.79.76 POST /auth/logout? -> 200 OK
[2025-07-08 17:22:28,841] INFO in app: -> 111.55.79.76 POST /auth/login?
[2025-07-08 17:22:29,705] INFO in app: <- 111.55.79.76 POST /auth/login? -> 200 OK
[2025-07-08 17:22:29,798] INFO in app: -> 111.55.79.76 POST /auth/reset_password?
[2025-07-08 17:22:30,723] INFO in app: <- 111.55.79.76 POST /auth/reset_password? -> 200 OK
[2025-07-08 17:22:30,796] INFO in app: -> 111.55.79.76 POST /auth/logout?
[2025-07-08 17:22:30,814] INFO in app: <- 111.55.79.76 POST /auth/logout? -> 200 OK
[2025-07-08 17:22:30,897] INFO in app: -> 111.55.79.76 POST /auth/login?
[2025-07-08 17:22:31,769] INFO in app: <- 111.55.79.76 POST /auth/login? -> 200 OK
[2025-07-08 17:22:31,846] INFO in app: -> 111.55.79.76 POST /download/upload?
[2025-07-08 17:22:31,863] INFO in app: <- 111.55.79.76 POST /download/upload? -> 201 CREATED
[2025-07-08 17:22:31,952] INFO in app: -> 111.55.79.76 GET /download/files?
[2025-07-08 17:22:31,958] INFO in app: <- 111.55.79.76 GET /download/files? -> 200 OK
[2025-07-08 17:22:32,016] INFO in app: -> 111.55.79.76 GET /download/download/7?
[2025-07-08 17:22:32,027] INFO in app: <- 111.55.79.76 GET /download/download/7? -> 200 OK
[2025-07-08 17:22:32,121] INFO in app: -> 111.55.79.76 PUT /download/file/7?
[2025-07-08 17:22:32,138] INFO in app: <- 111.55.79.76 PUT /download/file/7? -> 200 OK
[2025-07-08 17:22:32,207] INFO in app: -> 111.55.79.76 GET /download/files?
[2025-07-08 17:22:32,213] INFO in app: <- 111.55.79.76 GET /download/files? -> 200 OK
[2025-07-08 17:22:32,287] INFO in app: -> 111.55.79.76 DELETE /download/file/7?
[2025-07-08 17:22:32,301] INFO in app: <- 111.55.79.76 DELETE /download/file/7? -> 200 OK
[2025-07-08 17:22:32,376] INFO in app: -> 111.55.79.76 GET /download/files?
[2025-07-08 17:22:32,383] INFO in app: <- 111.55.79.76 GET /download/files? -> 200 OK
[2025-07-08 17:22:32,456] INFO in app: -> 111.55.79.76 POST /auth/delete_account?
[2025-07-08 17:22:33,336] INFO in app: <- 111.55.79.76 POST /auth/delete_account? -> 200 OK
[2025-07-08 17:22:33,427] INFO in app: -> 111.55.79.76 POST /auth/login?
[2025-07-08 17:22:33,432] INFO in app: <- 111.55.79.76 POST /auth/login? -> 401 UNAUTHORIZED
